Campus,CodigoEstudante,Curso,Admissao,Mobilidade_Inicio,Mobilidade_Termino,Programa,Pais,Instituicao,Mobilidade_Tipo
CAF,01044CFD18DD5C0CDE26733C11A3B542,Ciência da Computação,2012/1,2015/2,2016/1,Ciência sem Fronteiras,Estados Unidos,Roger Williams University,Saída
CAF,0322B0CE982B6F52251120354553B363,Ciência da Computação,2018/1,2022/2,2022/2,Mobilidade Acadêmica Internacional,Canadá,University Of Regina,Saída
CAF,04D4933024367D04B052B3C62FC56F32,Ciências Biológicas,2016/1,2019/1,2020/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,09B69ADCD7CBAE914C6204984097D2DA,Educação Física,2012/1,2013/1,2014/2,Ciência sem Fronteiras,Canadá,Algoma University,Saída
CAF,11037E6CEF90D5FDF6C811475BE4B253,Ciência da Computação,2020/1,2022/1,2023/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,13FE9D84310E77F13A6D184DBF1232F3,Agronomia,2011/1,2013/1,2014/2,Ciência sem Fronteiras,Austrália,University Of Queensland,Saída
CAF,1986405E39C5A79665AF1746738C1F46,Engenharia de Alimentos,2012/1,2014/1,2015/1,Ciência sem Fronteiras,Hungria,Corvinus University Of Budapest,Saída
CAF,1A3F91FEAD97497B1A96D6104AD339F6,Agronomia,2010/1,2013/1,2014/2,Ciência sem Fronteiras,Austrália,The University Of Western Australia,Saída
CAF,1AEBC7E51E61A787AA2D3419A3A96AE0,Agronomia,2012/1,2013/1,2014/2,Ciência sem Fronteiras,Alemanha,Universitat Trier,Saída
CAF,1CC41022FFF57529588200B3E7D6CF96,Ciência da Computação,2014/1,2015/2,2016/1,Ciência sem Fronteiras,Estados Unidos,Kalamazoo College,Saída
CAF,29F6BFF5F05251565C618BBB35143C06,Ciência da Computação,2023/1,2025/2,2025/2,Mobilidade Acadêmica Internacional,Itália,The Università Degli Studi Di Modena e Reggio Emilia,Saída
CAF,2D2CA7EEDF739EF4C3800713EC482E1A,Engenharia de Alimentos,2010/1,2013/1,2014/2,Ciência sem Fronteiras,Estados Unidos,University Of Arkansas,Saída
CAF,307D1094C1F5857935838964F2AE4DB4,Engenharia de Alimentos,2012/1,2014/1,2015/2,BSMP (CAPES/CNPQ),Estados Unidos,University Of Arkansas,Saída
CAF,3315588ACF14179DE8E0B2CD9285407F,Administração,2012/1,2016/2,2016/2,Mobilidade Acadêmica Nacional,Brasil,Universidade de Brasília,Saída
CAF,338AB51C4C2C88328E001AAB08FDDCD2,Ciência da Computação,2020/1,2023/1,2024/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,338AB51C4C2C88328E001AAB08FDDCD2,Ciência da Computação,2020/1,2025/1,2026/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,350DB081A661525235354DD3E19B8C05,Tecnologia em Gestão Ambiental,2010/1,2012/1,2012/1,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,36E729EC173B94133D8FA552E4029F8B,Física,2011/1,2012/2,2014/1,PLI,Portugal,Universidade de Coimbra,Saída
CAF,37D097CAF1299D9AA79C2C2B843D2D78,Ciências Biológicas,2009/1,2013/1,2014/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,3C333AADFC3EE8ECB8D77EE31197D96A,Administração,2011/1,2014/2,2014/2,Mobilidade Acadêmica Internacional,Colômbia,Universidad de Tolima,Saída
CAF,3FB5BB321738F743B4DC240F7AA5EA23,Agronomia,2016/1,2019/1,2019/1,Mobilidade Acadêmica Intercampi,Espanha,Universidad de Lleida,Saída
CAF,42A6845A557BEF704AD8AC9CB4461D43,Agronomia,2011/1,2015/1,2015/1,Mobilidade Acadêmica Internacional,Colômbia,Universidad de Caldas,Saída
CAF,42D286C8E91F0A431127FD942C40F0FE,Engenharia de Alimentos,2016/1,2019/2,2019/2,Mobilidade Acadêmica Intercampi,Chile,Universidad Catolica de Temuco,Saída
CAF,432FF29E76B94B98CFF04B435F5C89F2,Ciência da Computação,2013/1,2019/1,2019/1,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,432FF29E76B94B98CFF04B435F5C89F2,Ciência da Computação,2013/1,2019/2,2019/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,432FF29E76B94B98CFF04B435F5C89F2,Ciência da Computação,2013/1,2020/1,2020/1,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,46C85A6DFE472B343313AD79D138342C,Engenharia de Alimentos,2014/1,2020/1,2020/1,Mobilidade Acadêmica Nacional,Brasil,Universidade Federal do Paraná,Saída
CAF,4A716F7BA05468F225127F29AA2040C5,Ciências Biológicas,2012/1,2013/1,2014/2,Ciência sem Fronteiras,Austrália,Monash University,Saída
CAF,598A3242360F1B7AFC0B59475DE711F7,Administração,2020/1,2023/1,2023/1,Mobilidade Acadêmica Intercampi,Portugal,Universidade do Porto,Saída
CAF,5B4130C9E891D39891289001CC97D86B,Agronomia,2011/1,2014/2,2015/1,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,5B8F9C769BAEBEE08AAD92E36521B718,Ciências Biológicas,2014/1,2017/2,2018/1,PLI,Portugal,Universidade de Coimbra,Saída
CAF,5CEC9E1E2FC34196C7C6574825863D16,Ciência da Computação,2012/1,2014/1,2015/1,Ciência sem Fronteiras,Irlanda Do Norte,University Of Limerick,Saída
CAF,5F5FFBE75132E2154371F842F946C4E1,Engenharia de Alimentos,2016/1,2017/2,2017/2,Mobilidade Acadêmica Internacional,Portugal,Universidade do Porto,Saída
CAF,694BB32B1EBBC8B4D3FC29BEE5D1455C,Agronomia,2014/1,2017/2,2017/2,Mobilidade Acadêmica Intercampi,Colômbia,Universidad de Tolima,Saída
CAF,7085E5152593F9661190914A2A094A42,Agronomia,2014/1,2018/1,2018/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,7085E5152593F9661190914A2A094A42,Agronomia,2014/1,2019/1,2019/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,71ECF3A12729BA438D057DF53C82A1CA,Ciências Biológicas,2012/1,2013/1,2014/2,Ciência sem Fronteiras,Austrália,Monash University,Saída
CAF,739465804A0E17D2A47C9BC9C805D60A,Administração,2017/1,2019/2,2019/2,Mobilidade Acadêmica Intercampi,Portugal,Universidade do Porto,Saída
CAF,7AB0AFEE6C265EC9F4A5F766FD774242,Engenharia de Alimentos,2013/1,2018/1,2018/1,Mobilidade Acadêmica Nacional,Brasil,Universidade Federal de São João Del Rei,Saída
CAF,7AC0D6F2A7E643934C4C056762C37596,Agronomia,2014/1,2017/2,2018/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,7AC0D6F2A7E643934C4C056762C37596,Agronomia,2014/1,2019/1,2019/1,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,7C581B412887D3DDCF188128EC7D7CD5,Engenharia de Alimentos,2015/1,2017/1,2017/2,Mobilidade Acadêmica Intercampi,Brasil,Universidade Federal de Viçosa,Saída
CAF,7E3B7A5BAFCB0FA8E8DFE3EA6ACA9186,Engenharia de Alimentos,2010/1,2013/2,2014/2,BSMP (CAPES/CNPQ),Estados Unidos,University Of California Riverside,Saída
CAF,7F7C351EE977C765AA8CD5C7020BC38F,Tecnologia em Análise e Desenvolvimento de Sistemas,2011/1,2014/2,2015/1,Mobilidade Acadêmica Nacional,Brasil,Universidade de Brasília,Saída
CAF,8420D359404024567B5AEFDA1231AF24,Tecnologia em Gestão Ambiental,2011/1,2012/2,2013/1,Mobilidade Acadêmica Internacional,Portugal,Universidade Técnica de Lisboa,Saída
